"Regional
Centers",,,,Antimicrobial Resistance Genes,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CTXM15,,,OXA48,,,TEM,,,NDM,,,SHV,,,OXA1,,,IMP,,,VIM,,KPC,,,CTXM1,
RC1,,,55%,,,30%,,,23%,,,43%,,,2%,,,40%,,,13%,,,28%,,,2%,,34%,,
RC2,,,24%,,,4%,,,12%,,,10%,,,6%,,,10%,,,0%,,,0%,,,0%,,2%,,
,RC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RC3,,73%,,,0%,,,0%,,,0%,,,0%,,,47%,,,80%,,,0%,,,0%,,33%,,
,RC4,,9%,,,6%,,,2%,,,19%,,,6%,,,11%,,,0%,,,0%,,,0%,,23%,,
RC5,,,35%,,,4%,,,4%,,,10%,,,35%,,,43%,,,6%,,,8%,,,2%,,29%,,
RC6,,,67%,,,14%,,,0%,,,0%,,,33%,,,19%,,,33%,,,14%,,,0%,,0%,,
,RC6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RC7,,17%,,,0%,,,14%,,,7%,,,10%,,,21%,,,0%,,,0%,,,0%,,0%,,
RC8,,,39%,,,15%,,,28%,,,35%,,,13%,,,41%,,,9%,,,4%,,,4%,,39%,,
RC9,,,8%,,,12%,,,24%,,,10%,,,16%,,,67%,,,6%,,,4%,,,4%,,45%,,
RC12,,,32%,,,67%,,,42%,,,41%,,,0%,,,27%,,,0%,,,0%,,,0%,,11%,,
,RC12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RC13,,40%,,,9%,,,19%,,,19%,,,2%,,,30%,,,0%,,,0%,,,4%,,0%,,
,RC14,,53%,,,6%,,,12%,,,24%,,,12%,,,16%,,,20%,,,43%,,,4%,,0%,,
RC15,,,57%,,,16%,,,16%,,,10%,,,0%,,,35%,,,51%,,,12%,,,27%,,31%,,
RC16,,,26%,,,6%,,,6%,,,0%,,,6%,,,15%,,,6%,,,12%,,,0%,,3%,,
,RC16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RC17,,67%,,,0%,,,0%,,,67%,,,0%,,,100%,,,33%,,,0%,,,0%,,33%,,
,RC18,,5%,,,33%,,,23%,,,16%,,,5%,,,23%,,,12%,,,5%,,,0%,,7%,,
RC19,,,9%,,,9%,,,9%,,,9%,,,9%,,,0%,,,4%,,,4%,,,4%,,0%,,
RC21,,,46%,,,19%,,,27%,,,27%,,,0%,,,19%,,,24%,,,19%,,,0%,,43%,,
