"Regional
Centers",,,Antimicrobial Resistance Genes,,,,,,,,,
,,,CTXM15,OXA48,TEM,NDM,SHV,OXA1,IMP,VIM,KPC,CTXM1
RC1,,,72%,61%,11%,26%,63%,26%,15%,24%,7%,43%
RC2,,,39%,31%,16%,0%,0%,0%,0%,0%,0%,8%
RC3,,,47%,0%,27%,7%,80%,13%,7%,0%,53%,33%
,RC3,,,,,,,,,,,
,RC4,,11%,22%,25%,22%,67%,22%,0%,2%,0%,27%
RC5,,,29%,9%,15%,18%,74%,29%,0%,18%,12%,41%
RC6,,,67%,33%,0%,0%,38%,42%,25%,4%,8%,0%
RC7,,,0%,0%,0%,0%,71%,0%,0%,0%,0%,0%
,RC7,,,,,,,,,,,
,RC8,,28%,52%,28%,36%,80%,16%,0%,0%,0%,36%
,RC9,,0%,22%,34%,39%,93%,27%,0%,0%,0%,32%
RC10,,,50%,0%,100%,0%,50%,0%,0%,0%,0%,0%
RC12,,,34%,49%,31%,29%,53%,31%,0%,7%,0%,17%
RC13,,,27%,13%,0%,33%,0%,7%,0%,0%,0%,0%
,RC13,,,,,,,,,,,
,RC14,,41%,16%,0%,8%,62%,24%,0%,3%,3%,0%
RC15,,,82%,6%,24%,6%,76%,47%,41%,18%,18%,47%
RC16,,,33%,14%,10%,0%,5%,24%,10%,5%,5%,5%
,RC16,,,,,,,,,,,
,RC18,,12%,36%,14%,33%,10%,5%,21%,7%,7%,19%
RC19,,,11%,11%,11%,11%,16%,11%,5%,5%,0%,0%
RC21,,,47%,50%,24%,11%,37%,32%,3%,0%,0%,42%
